Keyword,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
Car seat,variable,SKU == timestamp,{{Name}},1,,visible,{{Name}},"{{Name}} <br/>Constructed with high quality polyester micro-fiber fabric for maximum durability and comfort.<br/>Add style to your seats while protecting them from spills, stains, tearing, fading and more..<br/>Designed for quick and easy installation on most car and SUV bucket style seats no tools required.<br/>Elastic backing and fastening system ensures a snug and secure universal fit on most standard car and SUV seats.<br/>Dimensions approximately 53 x 20 however they will stretch to fit most bucket style seats of any car and SUV<br/>Not for use on seats with integrated airbags, seatbelts or armrests.<br/>Package includes: 2 cover set.<br/>Extremely high demand, Usually expect 2-4 weeks to arrive! More details, please kindly learn our policy.<br/>",,,taxable,,1,,,,,,,,,1,,64.95,,car seat,,,{{Images}},,,,,,,,,,Size,Universal Fit,1,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,64.95,,,,,,,,{{SKU}},,,,,,,Size,Universal Fit,,0,,,,,,,,
Car mats,variable,SKU == timestamp,{{Name}},1,,visible,{{Name}},"{{Name}}<br/>Add style to your car while keeping your floors clean and protected! <br/> Features a durable and easy-to-clean custom print constructed from a waterproof polyester material. <br/> Rubberized backing with black finished edges ensures a secure grip and skid-free placement. <br/> Keep your car floors protected from dirt, spills and daily wear and tear with these stylish custom printed car floor mats!",,,taxable,,1,,,,,,,,,1,,77.95,,car mats,,,{{Images}},,,,,,,,,,Size,Universal Fit,1,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,77.95,,,,,,,,{{SKU}},,,,,,,Size,Universal Fit,,0,,,,,,,,
Hoodie Blanket/Hooded Blanket,variable,SKU == timestamp,{{Name}},1,,visible,{{Name}},"{{Name}} <br/>Each hoodie is constructed from a premium polyester blend that is ultra-soft and incredibly comfortable.<br/>Features a specialty high definition heat-dye application that ensures long lasting color vibrancy even after machine washing.<br/>Fabric is durable and resistant to wrinkles, shrinking and mildew.<br/>Each Hoodie is custom printed, cut and sewn just for you when you place your order Ð there may be small differences in the design on the seams and / or arms due to the custom nature of the production process!",,,taxable,,1,,,,,,,,,1,,76.99,,hoodie ,,,{{Images}},,,,,,,,,,Size,"youth 60""x45"",adult 60""x80""",1,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,76.99,,,,,,,,{{SKU}},,,,,,,Size,"youth 60""x45""",,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,79.99,,,,,,,,{{SKU}},,,,,,,Size,"adult 60""x80""",,0,,,,,,,,
Hoodie Dress,variable,SKU == timestamp,{{Name}},1,,visible,{{Name}},"{{Name}} <br/>Each hoodie is constructed from a premium polyester blend that is ultra-soft and incredibly comfortable.<br/>Features a specialty high definition heat-dye application that ensures long lasting color vibrancy even after machine washing.<br/>Fabric is durable and resistant to wrinkles, shrinking and mildew.<br/>Each Hoodie is custom printed, cut and sewn just for you when you place your order Ð there may be small differences in the design on the seams and / or arms due to the custom nature of the production process!",,,taxable,,1,,,,,,,,,1,,55.99,,hoodie ,,,{{Images}},,,,,,,,,,Size,"XS,S,M,L,XL,2XL",1,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,55.99,,,,,,,,{{SKU}},,,,,,,Size,XS,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,55.99,,,,,,,,{{SKU}},,,,,,,Size,S,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,55.99,,,,,,,,{{SKU}},,,,,,,Size,M,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,55.99,,,,,,,,{{SKU}},,,,,,,Size,L,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,55.99,,,,,,,,{{SKU}},,,,,,,Size,XL,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,55.99,,,,,,,,{{SKU}},,,,,,,Size,2XL,,0,,,,,,,,
Zip Hoodie/Zip Up Hoodie,variable,SKU == timestamp,{{Name}},1,,visible,{{Name}},"{{Name}} <br/>Each hoodie is constructed from a premium polyester blend that is ultra-soft and incredibly comfortable.<br/>Features a specialty high definition heat-dye application that ensures long lasting color vibrancy even after machine washing.<br/>Fabric is durable and resistant to wrinkles, shrinking and mildew.<br/>Each Hoodie is custom printed, cut and sewn just for you when you place your order Ð there may be small differences in the design on the seams and / or arms due to the custom nature of the production process!",,,taxable,,1,,,,,,,,,1,,54.99,,hoodie ,,,{{Images}},,,,,,,,,,Size,"XS,S,M,L,XL,2XL,3XL",1,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,54.99,,,,,,,,{{SKU}},,,,,,,Size,XS,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,54.99,,,,,,,,{{SKU}},,,,,,,Size,S,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,54.99,,,,,,,,{{SKU}},,,,,,,Size,M,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,54.99,,,,,,,,{{SKU}},,,,,,,Size,L,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,54.99,,,,,,,,{{SKU}},,,,,,,Size,XL,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,54.99,,,,,,,,{{SKU}},,,,,,,Size,2XL,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,54.99,,,,,,,,{{SKU}},,,,,,,Size,3XL,,0,,,,,,,,
Hoodie,variable,SKU == timestamp,{{Name}},1,,visible,{{Name}},"{{Name}} <br/>Each hoodie is constructed from a premium polyester blend that is ultra-soft and incredibly comfortable.<br/>Features a specialty high definition heat-dye application that ensures long lasting color vibrancy even after machine washing.<br/>Fabric is durable and resistant to wrinkles, shrinking and mildew.<br/>Each Hoodie is custom printed, cut and sewn just for you when you place your order Ð there may be small differences in the design on the seams and / or arms due to the custom nature of the production process!",,,taxable,,1,,,,,,,,,1,,49.99,,hoodie ,,,{{Images}},,,,,,,,,,Size,"XS,S,M,L,XL,2XL,3XL",1,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,{{SKU}},,,,,,,Size,XS,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,{{SKU}},,,,,,,Size,S,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,{{SKU}},,,,,,,Size,M,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,{{SKU}},,,,,,,Size,L,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,{{SKU}},,,,,,,Size,XL,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,{{SKU}},,,,,,,Size,2XL,,0,,,,,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,49.99,,,,,,,,{{SKU}},,,,,,,Size,3XL,,0,,,,,,,,
Bedding,variable,SKU == timestamp,{{Name}},1,,visible,{{Name}},"{{Name}}<br/>Bedding set comes with one duvet cover and two pillowcases.<br/>Comforter, bed sheet and pillow inserts are not included.<br/>Features a single-sided full color print on luxurious brushed polyester fabric.<br/>Constructed with cozy yet lightweight premium materials that are soft to touch.<br/>Tie-down corners to ensure secure placement of comforter insert.<br/>Machine washable with cold water gentle cycle and mild detergent.",,,taxable,,1,,,,,,,,,1,,79.99,,bedding,,,{{Images}},,,,,,,,,,Style,"3PCS,4PCS",1,0,Size,"Twin,Full,Quuen,King",1,0,,,,
,variation,,{{Name}},1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,79.99,,,,,,,,{{SKU}},,,,,,,Style,3PCS,,0,Size,Twin,,0,,,,
